,MLSNumber,DOM,List Price,City,Age,CompAvgAge,InteriorSqFt,CompAvgSqFt,Bedrooms,BathsFull,BathsHalf,NumComps,hoaTotalFee,MonthlyMortgage,TaxMonthlyTotal,TotalMonthlyCosts,CompAvgRentRevenue,MonthlyProfit,CapRate
4230,VALO417606,28,480000.0,Leesburg,2005,2004.5,1720,1475.0,3,2,1.0,2.0,692.0,1749.08,336.8333333333333,2802.9133333333334,2187.5,-615.4133333333334,-7.384960000000001
4240,VAFX1144764,40,870000.0,Fairfax,2009,,3021,,4,4,1.0,0.0,135.0,3544.18,693.5,4397.68,,,
4247,VAPW500884,64,415000.0,Woodbridge,2005,2005.0,2044,2079.0,2,2,0.0,2.0,640.0,1449.89,361.25,2476.1400000000003,2175.0,-301.1400000000003,-3.613680000000004
4256,VAPW500938,63,659900.0,Haymarket,2005,,3541,,4,3,0.0,0.0,305.36,2577.12,595.8333333333334,3503.3133333333335,,,
4260,VAFX1143882,58,310000.0,Mclean,1964,1964.0,951,916.75,2,1,0.0,4.0,447.0,966.59,229.0,1667.5900000000001,1743.75,76.15999999999985,0.9139199999999983
4266,VAFX1144374,62,805000.0,Falls Church,1970,1970.3333333333333,2414,1982.6666666666667,3,3,1.0,6.0,105.285,3245.00,687.9166666666666,4063.2016666666664,3133.3333333333335,-929.8683333333329,-11.158419999999996
4268,VALO417470,65,870000.0,Ashburn,2012,2012.5,4365,3428.0,4,3,1.0,2.0,219.0,3544.18,679.0,4467.18,3300.0,-1167.1800000000003,-14.006160000000003
4293,VAFX1144222,67,904490.0,Lorton,2020,2016.0,3934,4895.0,5,3,1.0,1.0,130.0,3702.93,0.0,3857.93,3300.0,-557.9299999999998,-6.695159999999999
4297,VALO417004,62,588000.0,Ashburn,2017,,2538,,3,2,1.0,0.0,387.0,2246.18,491.0833333333333,3149.2633333333333,,,
4302,VAFX1144142,61,394000.0,Oak Hill,2015,2015.375,1148,1204.125,2,2,0.0,8.0,340.0,1353.23,355.5,2073.73,1962.5,-111.23000000000002,-1.3347600000000004
